layer,gamma_mean,gamma_std,gamma_p05,gamma_p95,sign_consistency,n_prompts
1,0.20432062447071075,0.14190837740898132,-0.04426262900233269,0.45593616366386414,0.925,320
2,0.2720624804496765,0.20750752091407776,-0.0671074166893959,0.6170743703842163,0.90625,320
3,0.3920682370662689,0.29220250248908997,-0.09455503523349762,0.8622388243675232,0.903125,320
4,0.5822267532348633,0.3925422430038452,-0.04105352610349655,1.2492485046386719,0.93125,320
5,0.8236905932426453,0.5208504796028137,0.010341629385948181,1.7133845090866089,0.95,320
6,0.9265931844711304,0.5732888579368591,-0.002078897785395384,1.846655249595642,0.95,320
7,1.1287364959716797,0.7285141348838806,-0.05338597297668457,2.3275160789489746,0.9375,320
8,1.6400606632232666,0.9894806146621704,0.11044510453939438,3.3986642360687256,0.965625,320
9,1.9263759851455688,1.155561089515686,0.05919681116938591,3.942995548248291,0.9625,320
10,2.20058012008667,1.3423972129821777,0.1768280267715454,4.6040940284729,0.953125,320
11,2.5973873138427734,1.5771679878234863,0.11701741069555283,5.374470233917236,0.9625,320
12,2.6216583251953125,1.6267781257629395,0.06418348848819733,5.4474263191223145,0.95625,320
13,2.7575254440307617,1.697011947631836,0.1574030965566635,5.669334411621094,0.975,320
14,2.9746041297912598,1.8346214294433594,0.14329200983047485,6.069305896759033,0.96875,320
15,3.4356307983398438,1.968675971031189,0.3468063473701477,6.60259485244751,0.978125,320
16,4.052877426147461,2.21858549118042,0.5107256770133972,7.6854963302612305,0.978125,320
17,4.25554084777832,2.3246407508850098,0.4801624119281769,8.08309268951416,0.9875,320
18,4.608112812042236,2.4728105068206787,0.5416474938392639,8.92965030670166,0.98125,320
19,5.692553520202637,2.836498737335205,1.03956139087677,10.415465354919434,0.99375,320
20,9.22977352142334,4.292457580566406,2.08121657371521,15.968490600585938,1.0,320
21,11.29749870300293,5.444346904754639,2.154677152633667,19.773956298828125,0.996875,320
22,13.147768020629883,6.614352226257324,2.687124013900757,23.613542556762695,0.99375,320
23,16.069873809814453,8.138779640197754,3.47969388961792,29.136320114135742,0.996875,320
24,18.74853515625,9.430713653564453,3.8873844146728516,33.71637725830078,0.996875,320
25,22.4494571685791,11.278310775756836,4.4964919090271,40.741966247558594,0.996875,320
26,25.56360626220703,13.012534141540527,5.26820707321167,46.97059631347656,0.99375,320
27,29.758310317993164,14.779458999633789,7.0295090675354,54.4381217956543,0.99375,320
