component,interaction_attr,interaction_lo,interaction_hi,ai_effect_attr,user_effect_attr
embed,0.0,0.0,0.0,0.0,0.0
attn_0,-0.001119939610362053,-0.002466422237921506,0.0002901874016970396,0.02664545364677906,0.0047630202025175095
attn_1,0.0007669325568713248,-0.0006626875096117146,0.002106223594455514,0.012351047800621018,0.005090279330033809
attn_2,-0.005109172343509272,-0.008106320923980092,-0.0024554666604672108,0.026340979209635407,7.86495947977528e-05
attn_3,0.002699855249375105,0.000874713558005169,0.0044554722000611936,0.008245714707300067,0.00808139389846474
attn_4,-0.006502762291347608,-0.009011626708525,-0.003778569091809914,0.05573210907459725,-0.003149202631902881
attn_5,0.0005480730906128883,-0.004292301647365093,0.005362050887197256,0.06638641981408,-0.007035380695015192
attn_6,-0.006300805136561394,-0.012556704971939326,0.00023845395771786556,0.07825675141066313,-0.011862369254231453
attn_7,-0.009047717438079417,-0.013766071345889941,-0.004300041246460752,0.09192249126499519,0.01378627709345892
attn_8,0.016851821885211393,0.011126591650827323,0.023262687391979852,0.067081676053931,0.04264182237966452
attn_9,-0.002747129648923874,-0.02519120844081044,0.021931302594020964,0.13366496749222279,0.06576327234506607
attn_10,0.034453727188520133,0.023071952175814658,0.04656686479575001,0.11363912728847936,-0.1044402202242054
attn_11,0.043028239626437426,0.028405731543898582,0.056683069246355446,0.12598115229047835,-0.017670511035248637
attn_12,-0.002093368791975081,-0.011503054697823246,0.00766920444148127,0.03231068659806624,0.06996511638863012
attn_13,-0.06970163807272911,-0.10497369056101888,-0.035057403380051255,0.2590498346835375,-0.13072916865348816
attn_14,-0.21099596715066582,-0.27932513993946484,-0.1422660197109508,0.5605744628992397,0.04726680400199257
attn_15,-0.21641781722428277,-0.23797889632405714,-0.19497908581179219,0.18442147862515412,0.23486443934962153
attn_16,0.03508388088084757,0.007460999405157056,0.06387640667671803,0.01721491408534348,0.18607473385054618
attn_17,-0.19382217354723252,-0.22142499350302386,-0.16351572170606232,0.22759448045690078,0.7402483901096275
attn_18,-0.09104484488489106,-0.1500060070422478,-0.025113536076969506,0.3687796445155982,0.5086875489505474
attn_19,-1.7125967553583905,-2.058774405767326,-1.3779757529991912,3.1309198968228884,0.852677715185564
attn_20,-0.8870416726567782,-1.0431011943073827,-0.7443076186973485,1.0444850201893132,0.7874053090636153
mlp_0,-0.0027727512642741203,-0.0037255459814332426,-0.0018948831711895764,-0.0010823756456375122,0.001741419080644846
mlp_1,-0.0002697249874472618,-0.003518418688327074,0.0031884427880868307,-0.0011415663175284863,-0.0033036409877240658
mlp_2,-0.0005607353523373604,-0.002698000892996788,0.0015431367442943153,0.0052834427915513515,-0.0009406260214745998
mlp_3,-0.01533273491077125,-0.02190419224789366,-0.008201215256121944,-0.011244866997003555,-0.00724222301505506
mlp_4,-0.0024739676155149937,-0.008144213585183024,0.002904931269586086,-0.002294761361554265,0.009837259771302342
mlp_5,0.0039481238927692175,-0.0041532551054842765,0.011965673003578557,-0.02845382399391383,-0.012440118822269142
mlp_6,0.007652157393749803,0.0013637435389682651,0.014069803341408256,-0.0135351340577472,-0.0019778389541897923
mlp_7,0.003989812219515443,-0.0014742352126631887,0.009165055537596344,-0.0530691904714331,-0.009873127099126577
mlp_8,-0.03688893641810864,-0.044115090250852515,-0.030279258597875024,0.06304699502652511,0.03422767069423571
mlp_9,0.004496407578699291,-0.031835469615180044,0.03852109080471562,-0.20041361573385075,-0.05893423542147502
mlp_10,-0.07039897271897644,-0.08900856164545985,-0.05304862900520675,0.07984340068651363,0.13759901752928272
mlp_11,-0.06386807071976364,-0.08435840242309496,-0.04513857768615708,0.12706794415134937,-0.001958971726708114
mlp_12,0.032063317485153675,0.010696409757656511,0.051649786195775954,0.24652576516382396,-0.0721153449267149
mlp_13,-0.20270056766457856,-0.22944519865268376,-0.1787803069455549,0.5418953861808404,0.12792226043529809
mlp_14,-0.42303117498522624,-0.4855829187203199,-0.35828005492221565,-0.20750503728049807,0.03521363090840168
mlp_15,-0.10543457944004331,-0.12805038316437276,-0.08488235815239023,0.11219223548687296,0.30072429094434483
mlp_16,-0.13628223375417292,-0.1845635021396447,-0.0864477662020363,0.43742291640955955,0.5123767872573808
mlp_17,-0.2958991399500519,-0.3942512233683374,-0.2050790721725207,0.6332106416812167,-0.5770306178601459
mlp_18,-1.0953122752252966,-1.3532253401121124,-0.8607243111589924,1.6211561247473583,0.11546657409053296
mlp_19,-1.4454828968737274,-1.711215485536377,-1.1913808831304777,2.0942548937164247,1.7087081990903243
mlp_20,-1.1064867104869336,-1.549548667250201,-0.6167030314041768,3.0799736668122932,2.0240522815147415
