layer,effective_rank
0,157.69175720214844
1,176.96414184570312
2,166.25473022460938
3,177.39842224121094
4,181.6640167236328
5,184.55296325683594
6,181.48330688476562
7,174.34889221191406
8,178.89559936523438
9,183.5638427734375
10,181.06167602539062
11,174.6721649169922
12,173.087890625
13,172.10482788085938
14,173.8524627685547
15,170.21096801757812
16,165.02928161621094
17,168.52027893066406
18,167.80821228027344
19,165.3024139404297
20,163.1631317138672
21,164.38246154785156
22,168.15528869628906
23,173.8061981201172
24,179.29006958007812
25,179.5838623046875
26,183.99920654296875
27,185.3625946044922
28,127.7640151977539
