layer,alpha_A_given_U,alpha_A_given_U_lo,alpha_A_given_U_hi,alpha_U_given_A,alpha_U_given_A_lo,alpha_U_given_A_hi,cos_R_vs_tau_A,cos_R_vs_tau_A_lo,cos_R_vs_tau_A_hi,cos_R_vs_tau_U,cos_R_vs_tau_U_lo,cos_R_vs_tau_U_hi,ncf,ncf_lo,ncf_hi
0,0.5530983165706167,0.36676841974258423,0.7411768570542334,1.0454041224928283,1.006043729186058,1.0840620696544647,-0.32339298114244797,-0.38010245785117147,-0.17021031081676485,0.17242914394156048,0.019530999287962914,0.2749838687479496,0.8627580851141131,0.8186546385288238,0.9489532053470612
1,0.7995633638655617,0.6794359281659126,0.9172323852777481,1.0485146274604,1.0139146149158478,1.083932602405548,-0.16766469553525823,-0.2413115233182907,-0.06148031232878566,0.21471457736386998,0.056471295002847914,0.3243793629109859,0.90703003331321,0.8548249930143357,0.9684837728738784
2,0.7676145412758599,0.6503542765974999,0.8868446126580237,1.0581920816210895,1.02422376871109,1.0921962141990662,-0.19056789843108846,-0.26024201288819315,-0.08408718034625058,0.2760071990884449,0.1057687483727932,0.3813806660473346,0.8605669832483898,0.7998668909072876,0.9453100889921188
3,0.7065854227185326,0.5960282549262047,0.8191767379641532,1.0499499851181362,1.0185060560703278,1.0821709752082824,-0.26864989372749515,-0.3244656682014465,-0.1525648333132268,0.24419756726454778,0.08316062986850739,0.3464852288365363,0.8392912019639691,0.7895550727844238,0.9276990339159965
4,0.7068706604309009,0.5978215202689171,0.8168198049068451,1.0461797189392783,1.0151276767253876,1.0770099759101868,-0.2594184916848955,-0.31406165435910227,-0.14923101477324965,0.2222153959218479,0.06719883158802986,0.32649550437927244,0.8582819578534053,0.8126881659030915,0.9361883997917175
5,0.7165733611556002,0.6153067424893379,0.8156157061457634,1.0439226859952724,1.0140160918235779,1.0743410676717757,-0.27898675316603894,-0.3308764390647411,-0.16531604677438758,0.2170557084488602,0.06342383958399296,0.3249365612864494,0.8445748335183917,0.8014920368790627,0.9257181271910667
6,0.690193050965037,0.5851127341389656,0.7955381065607069,1.0461700384258046,1.0162146031856536,1.0765785664319991,-0.3043269133639193,-0.35733225718140604,-0.18458418771624566,0.22493204627698396,0.07051166277378798,0.3296265587210655,0.8252726210555622,0.782388262450695,0.9140914693474769
7,0.7338081314033262,0.6243481874465943,0.8430273294448852,1.0428884242197305,1.0125292807817459,1.0736954838037491,-0.2685372169626229,-0.3330367371439934,-0.1454524215310812,0.21601963168956723,0.05782679468393326,0.33090141713619226,0.8436034815833724,0.7967510998249054,0.9248942568898201
8,0.7732196487258167,0.6686208948493004,0.8783134281635284,1.03950080639555,1.011962166428566,1.0693907529115676,-0.23386915050289567,-0.302854959666729,-0.11603623218834405,0.19518404448091914,0.053824044205248354,0.30698473751544947,0.8764612745998829,0.8269932940602303,0.9449254646897316
9,0.7803835836261255,0.680299599468708,0.8813894718885421,1.0359114521848543,1.0084443390369415,1.0658110588788987,-0.23819914048624583,-0.30728157982230186,-0.11966535560786734,0.1732238031672619,0.03815523963421583,0.2842622920870781,0.8816388686794533,0.8392196118831634,0.945284503698349
10,0.8054384276371714,0.7016339793801307,0.9053860113024711,1.031440768104551,1.0045771926641465,1.0606254845857621,-0.2191649625944426,-0.2979988791048527,-0.09801444448530686,0.15694245436661614,0.02043130835518241,0.2731087058782576,0.8966974441065086,0.854219114780426,0.9532964572310447
11,0.8359034341149958,0.7356040075421333,0.9327029243111611,1.0305707682963203,1.003938964009285,1.0583851516246796,-0.19374314087000408,-0.2798727139830589,-0.0742514388635755,0.14987359341074313,0.017632846906781196,0.25985341891646385,0.9149475734081811,0.8704653695225716,0.9655723571777344
12,0.8377248036330331,0.7356550619006157,0.9364917725324631,1.0331757214942625,1.0056608647108078,1.0614266306161881,-0.19176014560465632,-0.28021268993616105,-0.06979434452950976,0.16526491224601367,0.025535884080454707,0.27356994450092315,0.9036721005227636,0.8594704985618591,0.9582805275917052
13,0.869735264869664,0.7668231964111328,0.9692871809005736,1.0377555109948984,1.0102507144212722,1.065696221590042,-0.15572543666949132,-0.2515807315707207,-0.032923410180956195,0.18550542171279985,0.04623415917158127,0.29409911483526213,0.9097492947841209,0.8633905649185181,0.9604616686701775
14,0.9170770007252145,0.8192705780267715,1.012896943092346,1.0459180985161243,1.018046960234642,1.073924931883812,-0.10043857387612452,-0.19894656278192996,0.014911304856650516,0.22050862990547573,0.08127591405063868,0.3190761640667915,0.9139742360521774,0.8646259561181069,0.9636352971196175
15,0.8896641897850537,0.8065998837351799,0.9742403864860534,1.0083140174210403,0.9822748675942421,1.0362084627151489,-0.13544741461949458,-0.21625499986112118,-0.02914309473708274,0.03846154041021807,-0.07829505559056997,0.15597972571849822,0.9757121305057035,0.9457130283117294,0.9935361370444298
16,0.8030734534613251,0.7206429585814476,0.8861199364066124,0.9970376127890997,0.9709698036313057,1.0246485114097594,-0.24638089403318306,-0.3205750949680805,-0.13545670881867414,-0.014165752064828384,-0.12878841757774354,0.11055711582303045,0.9349024898833264,0.8945536077022552,0.9709620222449302
17,0.8109806102345875,0.7280330643057823,0.8961154028773307,1.0039261123062813,0.9774317130446434,1.0323870718479156,-0.23071857243744034,-0.30528056919574736,-0.11996309570968151,0.018364301828294217,-0.09902516212314368,0.14001568816602217,0.9372218182118908,0.900318156182766,0.9715943813323975
18,0.7888926800241358,0.7055415272712707,0.8761417835950851,1.0030868626433467,0.9772497966885567,1.030826097726822,-0.25378036972344614,-0.3280966065824032,-0.14211249351501487,0.014479155554263,-0.09899051524698733,0.133161361515522,0.9236221262599422,0.8847745224833489,0.9623809561133384
19,0.7861359855416483,0.7019105061888695,0.8692568078637123,1.000822013961026,0.9759075611829757,1.026695480942726,-0.24653542835670325,-0.3220054477453232,-0.14432299248874192,0.003601993898946898,-0.10060055572539568,0.11040132530033586,0.9285279162227577,0.8903301149606705,0.9632996529340744
20,0.6672714956662487,0.5980279818177223,0.7341622024774551,0.9781823084895356,0.9605302155017853,0.9961912482976913,-0.4154097890052155,-0.4756872959434986,-0.3266165181994438,-0.09530998924415476,-0.1651036899536848,-0.01637607379816476,0.8269874785572848,0.7734816163778305,0.8887362137436866
21,0.6299346953194116,0.5545607343316078,0.701642656326294,0.966615646847942,0.9478783875703811,0.9857654273509979,-0.43964645842498556,-0.5000351458787918,-0.35372128114104273,-0.14028778540340542,-0.20894122682511806,-0.058517897501587875,0.8066337803903563,0.7488251030445099,0.8739855647087097
22,0.6348806107774941,0.5564392164349556,0.7102987304329872,0.9645705440063631,0.9459752842783928,0.9832203820347786,-0.4126561034314273,-0.47324841618537905,-0.32763175591826443,-0.142871991380739,-0.20803625285625457,-0.06665146909654154,0.8290955284960532,0.7727576777338981,0.8914887502789497
23,0.6750778296213409,0.5968139976263046,0.7499567270278931,0.9641517379984554,0.945801953971386,0.9824519172310829,-0.36832177555049733,-0.43397163078188894,-0.2813066944479943,-0.14384512716069367,-0.20669654347002506,-0.06945516224950553,0.8618801433086823,0.8067735001444817,0.9190444096922874
24,0.640501679937621,0.5630734235048294,0.7150420814752578,0.9591619298475739,0.9420761987566948,0.9757839694619178,-0.40311159145287623,-0.4643812596797943,-0.3181601651012898,-0.1677175509483547,-0.22546868287026883,-0.09774900302290918,0.8345331326425209,0.7793047323822975,0.8968976870179176
25,0.6713592627432503,0.5935616448521615,0.7462532117962837,0.9627441528693446,0.9456378564238548,0.9797839775681496,-0.37276368928735715,-0.4365379586815834,-0.28597767651081096,-0.15296323062857492,-0.21227689422667026,-0.08156864233314996,0.8594497193629509,0.8051572218537331,0.9165098011493682
26,0.679841102652669,0.5997003465890884,0.7555307611823081,0.9692735540619895,0.9523140370845795,0.9861099720001221,-0.35793839525243804,-0.4242166064679623,-0.2710511721670628,-0.12509783225301635,-0.185479724034667,-0.05519830910488965,0.8717693795639172,0.8185025051236152,0.9252076297998427
27,0.7343967412384069,0.6544174954295159,0.8101780623197555,0.9764102604488364,0.9593115493655204,0.9935439616441727,-0.30415115153261846,-0.3756798833608627,-0.215283764526248,-0.09572285870132233,-0.15754554271697999,-0.025333820888772614,0.907296885397826,0.8586869060993194,0.9521943390369415
28,0.7111548993307968,0.6228357255458832,0.7947517812252044,0.9834040826163178,0.9666402578353882,0.999588617682457,-0.35856212361516865,-0.44105766862630846,-0.25473830997943897,-0.09448946256615817,-0.18025564290583135,-0.002306415408384083,0.8714159213967629,0.8039384290575982,0.9326627746224403
