layer,vector_type,pc1,pc2
0,AI,-13.152302,-2.555564
0,User,-13.152931,-2.5537677
0,Joint,-13.152378,-2.5549493
0,Residue,-13.153142,-2.554341
1,AI,-12.8558445,-2.312352
1,User,-13.139553,-2.561058
1,Joint,-12.822739,-2.2825627
1,Residue,-13.133338,-2.5178776
2,AI,-12.589624,-2.1760292
2,User,-13.138438,-2.5751946
2,Joint,-12.539166,-2.136512
2,Residue,-13.117101,-2.4940135
3,AI,-12.25617,-2.0136595
3,User,-13.106606,-2.5692084
3,Joint,-12.16653,-1.9544415
3,Residue,-13.109746,-2.4803002
4,AI,-11.90982,-1.6669055
4,User,-13.073573,-2.5738573
4,Joint,-11.752407,-1.5687197
4,Residue,-13.075007,-2.4366817
5,AI,-11.416912,-1.2886705
5,User,-13.013448,-2.5488975
5,Joint,-11.189695,-1.1408644
5,Residue,-13.06533,-2.4120214
6,AI,-11.140127,-1.1431503
6,User,-12.978172,-2.557329
6,Joint,-10.863592,-0.97818935
6,Residue,-13.0512905,-2.3864346
7,AI,-10.495218,-0.5937551
7,User,-12.915535,-2.519246
7,Joint,-10.093468,-0.31373823
7,Residue,-12.988707,-2.3094606
8,AI,-9.437525,0.14691979
8,User,-12.813449,-2.484742
8,Joint,-8.875196,0.5116769
8,Residue,-12.930209,-2.2592258
9,AI,-8.65328,0.50380135
9,User,-12.707264,-2.4196672
9,Joint,-7.9929457,0.95285046
9,Residue,-12.938396,-2.2400095
10,AI,-7.9371862,1.0132084
10,User,-12.6538105,-2.386571
10,Joint,-7.220316,1.5029745
10,Residue,-12.935314,-2.2323887
11,AI,-7.32586,1.1356806
11,User,-12.531562,-2.3751411
11,Joint,-6.4482646,1.671946
11,Residue,-12.896836,-2.1973171
12,AI,-6.9697914,1.3921046
12,User,-12.469575,-2.3050349
12,Joint,-6.000747,2.0431943
12,Residue,-12.867377,-2.1525998
13,AI,-6.732312,1.5311248
13,User,-12.382046,-2.2593207
13,Joint,-5.619169,2.251488
13,Residue,-12.810806,-2.1290398
14,AI,-6.4241753,1.7743084
14,User,-12.326802,-2.2237282
14,Joint,-5.200546,2.6053956
14,Residue,-12.755563,-2.0539093
15,AI,-4.861676,2.2011216
15,User,-12.215208,-2.2156265
15,Joint,-3.6277552,2.9994848
15,Residue,-12.856859,-2.0947359
16,AI,-3.0155735,3.37718
16,User,-11.874941,-1.9754105
16,Joint,-1.432836,4.409441
16,Residue,-12.848315,-2.1010532
17,AI,-2.6374836,3.7078166
17,User,-11.79413,-1.9093602
17,Joint,-0.8869168,4.9032593
17,Residue,-12.761296,-2.003923
18,AI,-1.4740752,4.516775
18,User,-11.633792,-1.8509959
18,Joint,0.5372838,5.837905
18,Residue,-12.660845,-1.9365993
19,AI,1.2156423,5.868514
19,User,-11.130995,-1.7150567
19,Joint,3.9281328,7.4261074
19,Residue,-12.462508,-1.8360747
20,AI,12.908239,10.429331
20,User,-10.325641,-1.5523198
20,Joint,16.375854,12.195936
20,Residue,-12.512734,-1.789794
21,AI,20.826996,14.094484
21,User,-9.560147,-1.3067393
21,Joint,25.083494,16.008041
21,Residue,-12.489352,-1.888433
22,AI,27.94555,16.756067
22,User,-9.044326,-1.2677712
22,Joint,32.765778,18.610973
22,Residue,-12.441441,-1.986052
23,AI,37.05905,19.508947
23,User,-8.413431,-1.3925816
23,Joint,42.18218,21.016655
23,Residue,-12.769431,-2.2084308
24,AI,51.84509,22.727398
24,User,-7.3542614,-1.2019782
24,Joint,58.432297,24.484278
24,Residue,-12.364513,-2.149867
25,AI,64.62166,24.6088
25,User,-5.6643867,-0.845541
25,Joint,73.29691,26.781841
25,Residue,-11.966332,-2.090154
26,AI,76.5691,22.439703
26,User,-4.4693522,-0.8565154
26,Joint,87.018486,24.434507
26,Residue,-11.387239,-2.257397
27,AI,88.31575,10.723465
27,User,-2.4062748,-0.94361055
27,Joint,101.55404,12.310504
27,Residue,-10.661428,-2.5780668
28,AI,79.74985,-103.872246
28,User,-6.578831,-0.8526562
28,Joint,88.147095,-105.951965
28,Residue,-11.329921,-6.335794
