layer,vector_type,pc1,pc2,pc3
0,AI,-10.309433,-0.7654149,-0.74761283
0,User,-10.309935,-0.76515543,-0.74793947
0,Joint,-10.30994,-0.76546013,-0.74744904
0,Residue,-10.310181,-0.76526487,-0.74763405
1,AI,-10.072697,-0.60133696,-0.5050554
1,User,-10.306885,-0.7759235,-0.77072406
1,Joint,-10.079964,-0.6166086,-0.5423716
1,Residue,-10.31999,-0.76972365,-0.7623293
2,AI,-9.804337,-0.49539456,-0.30651724
2,User,-10.312057,-0.77996105,-0.7760557
2,Joint,-9.828777,-0.5210092,-0.36797673
2,Residue,-10.331992,-0.77602863,-0.7811416
3,AI,-9.483444,-0.39304024,-0.062625155
3,User,-10.306306,-0.78728396,-0.79622453
3,Joint,-9.531346,-0.43821862,-0.17322731
3,Residue,-10.361204,-0.78826934,-0.8101157
4,AI,-9.125557,-0.14835975,0.3482151
4,User,-10.3013,-0.8002955,-0.81517416
4,Joint,-9.198972,-0.23469198,0.17514776
4,Residue,-10.391727,-0.8164121,-0.85363114
5,AI,-8.560697,0.15946028,0.86880666
5,User,-10.287328,-0.8091452,-0.84033966
5,Joint,-8.66008,0.03743434,0.6121201
5,Residue,-10.4316635,-0.8432559,-0.9120848
6,AI,-8.262465,0.2221936,1.029002
6,User,-10.2912445,-0.83109766,-0.86405087
6,Joint,-8.354857,0.09285718,0.74967206
6,Residue,-10.420759,-0.82861394,-0.9110168
7,AI,-7.6171374,0.52919716,1.5667822
7,User,-10.260031,-0.8137678,-0.88458145
7,Joint,-7.6880975,0.4232564,1.2194974
7,Residue,-10.430536,-0.82254815,-0.9584404
8,AI,-6.5742636,1.1047058,2.4931564
8,User,-10.233121,-0.8304348,-0.97337633
8,Joint,-6.650568,0.95815635,1.9259396
8,Residue,-10.462794,-0.8464894,-1.0895778
9,AI,-5.6485896,1.3811148,3.008575
9,User,-10.211041,-0.8255068,-1.0206178
9,Joint,-5.7357073,1.2645305,2.3624737
9,Residue,-10.495688,-0.821453,-1.121221
10,AI,-4.9981136,1.6959171,3.5457199
10,User,-10.219822,-0.8433645,-1.1220666
10,Joint,-5.1107173,1.5039773,2.676635
10,Residue,-10.512396,-0.87895054,-1.2427554
11,AI,-4.164932,1.8263026,3.9097073
11,User,-10.128483,-0.8495103,-1.1969703
11,Joint,-4.216741,1.6628515,2.8908713
11,Residue,-10.542936,-0.84431666,-1.3176035
12,AI,-3.8480918,1.9683156,4.272981
12,User,-10.135994,-0.83399856,-1.2104385
12,Joint,-3.9325216,1.8158115,3.2041986
12,Residue,-10.568046,-0.8488809,-1.3540816
13,AI,-3.575824,2.0749006,4.4109755
13,User,-10.0956745,-0.81952566,-1.2412039
13,Joint,-3.6071393,1.9390793,3.241518
13,Residue,-10.555252,-0.8466717,-1.4239918
14,AI,-3.1617785,2.2617123,4.6751328
14,User,-10.066169,-0.7959688,-1.2719845
14,Joint,-3.1706514,2.1738768,3.4027297
14,Residue,-10.562315,-0.8222426,-1.4961557
15,AI,-1.6044273,2.5590324,5.4848886
15,User,-10.031166,-0.83075964,-1.4284847
15,Joint,-1.7448184,2.3657131,3.86505
15,Residue,-10.728835,-0.89293414,-1.68709
16,AI,0.10384261,3.3459325,6.585389
16,User,-9.9265,-0.7889009,-1.4533129
16,Joint,-0.041588433,3.1303732,4.799587
16,Residue,-10.83854,-0.95703346,-1.8282272
17,AI,0.5189677,3.601762,6.785361
17,User,-9.891503,-0.8016592,-1.5448803
17,Joint,0.43850848,3.385425,4.8444214
17,Residue,-10.808566,-0.94505286,-1.8917962
18,AI,1.8241904,4.1370087,7.383314
18,User,-9.865309,-0.79678106,-1.6058816
18,Joint,1.7705098,3.9225614,5.3095746
18,Residue,-10.80798,-0.9480415,-1.9635956
19,AI,4.879623,5.3713784,8.723352
19,User,-9.702754,-0.8037594,-1.7677591
19,Joint,4.985198,5.1300664,6.2974734
19,Residue,-10.811281,-0.96792775,-2.1538556
20,AI,15.808924,8.287731,12.450491
20,User,-9.527476,-0.92669904,-2.6200151
20,Joint,15.627908,7.7535553,8.388536
20,Residue,-11.2731495,-1.1378522,-2.9376764
21,AI,22.668678,10.334007,13.574717
21,User,-9.277088,-0.9269339,-3.1565778
21,Joint,22.69756,9.710201,8.554328
21,Residue,-11.313641,-1.227248,-3.3595448
22,AI,29.403877,11.696891,13.716938
22,User,-8.9858,-1.0091041,-4.071862
22,Joint,29.693466,11.031539,7.2502394
22,Residue,-11.344221,-1.1866225,-3.8905716
23,AI,37.444115,12.739538,12.142224
23,User,-8.622878,-1.2069522,-5.3791695
23,Joint,37.73222,11.824533,3.5191302
23,Residue,-11.708632,-1.2384276,-4.7396655
24,AI,49.60713,13.621611,11.127912
24,User,-8.272495,-1.1863906,-6.225138
24,Joint,49.90171,12.618075,0.9205199
24,Residue,-12.052525,-1.3475218,-5.4779925
25,AI,58.363228,12.723448,5.572809
25,User,-7.701223,-1.3085086,-7.7905736
25,Joint,59.024487,11.615756,-7.031979
25,Residue,-12.25712,-1.3295641,-6.3099523
26,AI,66.79782,9.670324,-2.7083104
26,User,-7.3567176,-1.4345781,-9.177323
26,Joint,67.60884,8.4289665,-17.504402
26,Residue,-12.451863,-1.3371526,-7.1145053
27,AI,74.165665,-1.3515944,-13.06464
27,User,-6.584469,-1.6911213,-10.978258
27,Joint,75.74326,-2.059097,-29.88919
27,Residue,-12.457558,-0.5467534,-7.3420205
28,AI,40.6768,-81.51162,14.674767
28,User,-7.985146,-0.02122268,-7.5174747
28,Joint,41.623158,-75.96304,1.7351258
28,Residue,-11.6881075,4.0394216,-6.9179015
